keyword,category
steering wheel cover,automotive-accessories/interior/steering-wheel-covers
car seat cover,automotive-accessories/interior/seat-covers
car phone holder,automotive-accessories/interior/phone-holders
car floor mats,automotive-accessories/interior/floor-mats
car air freshener,automotive-accessories/interior/air-fresheners
women handbag,fashion-accessories/bags/handbags
mens wallet,fashion-accessories/wallets/mens-wallets
sunglasses,fashion-accessories/eyewear/sunglasses
womens watch,fashion-accessories/watches/womens-watches
scarf,fashion-accessories/scarves/general
phone case,electronics-accessories/mobile/phone-cases
wireless earbuds,electronics-accessories/audio/earbuds
bluetooth speaker,electronics-accessories/audio/speakers
usb cable,electronics-accessories/cables/usb-cables
power bank,electronics-accessories/power/power-banks
kitchen storage container,home-goods/kitchen/storage-containers
led string lights,home-goods/decor/string-lights
throw pillow cover,home-goods/textiles/pillow-covers
bathroom organizer,home-goods/bathroom/organizers
wall clock,home-goods/decor/wall-clocks
