id,name,src,cat,blocked_by_name,blocked_by_category
83527,Men's Mid-calf Cotton Socks Jacquard Couple Sex Socks,CJ,Woman Socks,false,false
188664,Sexy Sex Product Women's Products Open After Entering,CJ,Bedding Sets,true,false
210559,Small dot veil lace cat ears headband sex accessories,CJ,Party Masks,false,false
216017,Mat ceiling sex swing,CJ,Event & Party Supplies,false,false
273708,"24 Pieces Of Short-style Red Pure-sexual Pressing-type Nail Pure-color Toe Nail Stickers, Including 1 Piece Of Jelly Glue And 1 Nail File. This Is A Nail Art Set For Wearing Nails.",CJ,Nail Art Kits,false,false
273766,Upgrade Your Look 24-piece Short Square Ice-transparent Gradient Pure-sex Design Full-cover Nail Covers Are Suitable For Women And Girls.,CJ,Nail Art Kits,false,false
329009,Sex wild violin brooch,CJ,Brooches,false,false
329090,High-end vintage diamond-set sex needle,CJ,Brooches,false,false
345455,Sexual Fashion Trendy Men And Women Thai Silver Pendant Jewelry,CJ,Body Jewelry,false,false
346016,Sexual Geometric Tassel Pendant Clothes Chain,CJ,Body Jewelry,false,false
346090,Stitching Necklace Sex Cold Wind Fringe Accessories,CJ,Body Jewelry,false,false
350904,Rhinestone Claw Chain Tassel Body Chain Suit Sex,CJ,Fashion Jewelry Sets,false,false
376230,Sexual fashion hollow luminous water watch,CJ,Quartz Watches,false,false
436558,Sexual Trend Loose-Footed Trousers Fake Two-Piece Ninth Pants,CJ,Harem Pants,false,false
445592,Sex Black And Red Ice Hockey Clothing Loose Design,CJ,Men's Long-Sleeved,false,false
509222,Repair subsidy-Heel for opposite sex-6 pieces-1 pack,CJ,Bag Accessories,false,false
559603,Sex Track Assembling Children's Block Pipe Ball Building Piece Toy,CJ,Action & Toy Figures,false,false
560007,Crystal Transparent Airplane Bottle Men's Trainer Comfortable And Sex Product,CJ,Action & Toy Figures,true,false
597646,Factory Direct Sales Cross-Border Hot Sale New Product Yoga Ball Cover Health Ball Chair Pregnant Woman Childbirth Ball Sex Ball Stool Protective Cover,CJ,Fitness & Bodybuilding,false,false
638594,"Compatible with Apple , Sex Chocolate Earphone Cover Apple Wireless Bluetooth Silicone Anti-Drop Soft Shell",CJ,Earphones & Headphones,false,false
718572,New Baroque Opposite-sex Pearl Fashion Bracelet,CJ,Bracelets & Bangles,false,false
722801,Sexual Popular Five-pointed Star Sequined Star Clavicle Chain,CJ,Bracelets & Bangles,false,false
724494,Same Sex Seven Color Rainbow Color Braided Hand Rope Bracelet,CJ,Bracelets & Bangles,false,false
791869,European and American sex appeal tight knit dressshows thin package buttock skirt female,CJ,Blazers,false,false
794009,"Sex Pillow Couples Sex Toys, 27° Ergonomic Memory Foam Support Pillow, Contoured Lounger Cushion for Back & Lumbar Support, Multi-Functional Comfort Pillow Grey",CJ,Furniture,false,false
794019,"Sex Pillow Couples Sex Toys, 27° Ergonomic Memory Foam Support Pillow, Contoured Lounger Cushion for Back & Lumbar Support, Multi-Functional Comfort Pillow (Grey)",CJ,Furniture,false,false
794025,"Sex Pillow Couples Sex Toys, 27° Ergonomic Memory Foam Support Pillow, Contoured Lounger Cushion for Back & Lumbar Support, Multi-Functional Comfort Pillow( Green grey)",CJ,Furniture,false,false
794026,"Sex Pillow Couples Sex Toys, 27° Ergonomic Memory Foam Support Pillow, Contoured Lounger Cushion for Back & Lumbar Support, Multi-Functional Comfort Pillow(Black)",CJ,Furniture,false,false
794027,"Sex Pillow Couples Sex Toys, 27° Ergonomic Memory Foam Support Pillow, Contoured Lounger Cushion for Back & Lumbar Support, Multi-Functional Comfort Pillow(Grey)",CJ,Furniture,false,false
794028,"Memory Foam Ergonomic Wedge PillSex Pillow Couples Sex Toys, 27° Ergonomic Memory Foam Support Pillow, Contoured Lounger Cushion for Back & Lumbar Support, Multi-Functional Comfort Pillow(Dark grey)",CJ,Furniture,false,false
850002,Vintage Sex Heart Angel Wings Ring Ladies Ring,CJ,Rings,false,false
855819,Fashionable Temperament Full Diamond Ring A Sex Heart Pearl 9-piece,CJ,Rings,false,false
855823,Sexual Female Ins Wind Flower Wave Sapphire 10-piece Ring,CJ,Rings,false,false
864905,New thick-heeled buckle color sex sandals,CJ,Pumps,false,false
870645,Sex Mesh Belt Braided M Tassel Chain,CJ,Rings,false,false
877181,Sexual Laser Sequin Spaceship Rocket Crossbody Bag,CJ,Fashion Backpacks,false,false
883544,Sex Index Finger Ring Subnet Celebrity Niche Design Simple Cold wind Ring,CJ,Rings,false,false
887036,Same-sex Couple Laser Stainless Steel Ring,CJ,Rings,false,false
911429,Sexual Exaggeration Sweater Chain Pendant Clavicle Chain,CJ,Necklace & Pendants,false,false
919547,Exaggerated Sex Pin Pearl Necklace Female,CJ,Necklace & Pendants,false,false
929121,Plating Color Opposite-sex Crystal Non-fading Necklace,CJ,Necklace & Pendants,false,false
930961,Sexual Vintage Bridal Wedding Jewelry,CJ,Necklace & Pendants,false,false
931236,Exaggerated Zircon Gemstone Rhinestone Opposite Sex OT Buckle Necklace,CJ,Necklace & Pendants,false,false
933961,Rainbow Jewelry Two Piece Titanium Steel Rainbow Same-Sex Jewelry,CJ,Necklace & Pendants,false,false
934414,Israeli Niche Necklace Female Clavicle Chain Ins Sex Cold Wind,CJ,Necklace & Pendants,false,false
934529,Retro Lock Pendant Sex Street Hip Hop Necklace,CJ,Necklace & Pendants,false,false
935894,All-match Opposite-sex Pendant Beaded Clavicle Chain Niche Temperament Necklace,CJ,Necklace & Pendants,false,false
939090,Six Color Rainbow Circle Geometric Same-sex Couple LGBT,CJ,Necklace & Pendants,false,false
950336,European And American Christmas Is Like Sex T-shirt Digital Printing,CJ,Print,false,false
988718,Sex trend mug with lid and spoon large capacity,CJ,Drinkware,false,false
997695,Sexual Positions A Year Of Sex Adult Full English Sex Pose Card,CJ,Action & Toy Figures,true,false
1000687,Sex Carved Vintage Wood Piece Water Drop Earrings,CJ,Earrings,false,false
1009197,Female Sex Exaggerated Color Diamond Long Earrings,CJ,Earrings,false,false
1012112,Design Sense Of Cold Sex Colorful Geometric Rhinestone Tassel Earrings,CJ,Earrings,false,false
1013419,Sexual Long Ear Hook Earrings Blue Turquoise Inlaid Earrings,CJ,Earrings,false,false
1017600,Titanium Steel Cross Earrings Sex Punk,CJ,Earrings,false,false
1022194,Women's Vintage Opposite-sex Pearl Earrings,CJ,Earrings,false,false
1028311,Sex Bee Shape Stainless Steel 14K Gold Color Retention,CJ,Earrings,false,false
1047985,Second Generation And Third Generation Men's Increasing Cream Crocodile Skin care lotion For Sex,CJ,Body Care,false,false
1096041,"Sex Toys For Man Realistic Massager Adjustable Massage Intensity, Ergonomic Design, Easy Cleaning - Male Masturbators",CJ,Home Office Storage,false,false
1126922,Sex Waterproof Sheets Passionate Push Oil Wet Body Spray Waterproof Urine Waterproof Pad,CJ,Home Office Storage,false,false
1161425,Sex Teens Stickers Kids Trending Room Decoration,CJ,Home Office Storage,false,false
1171574,Talent Men's Massage Essential Oil Sex Product Dropshipping Genuine Goods Guarantee,CJ,Home Office Storage,true,false
1178125,Sex of baby: self adhesive adhesive paper,CJ,Home Office Storage,false,false
1178627,Triangle Inflatable Pillow Couple's Room Cushion High Pregnant Sex Hip Padded Pillow,CJ,Home Office Storage,false,false
1194313,Full English Bedroom Command Couple Game Sex Posture Card,CJ,Home Office Storage,false,false
1214269,Adult Sex Toy Sex Strap Household Goods Door Window Sling Door Hanger,EPROLO,Sex Product,true,true
1214946,Cupid Magic Finger Pulls Sucking Vibrator Sex Toys Female Masturbator Massage Stick 7-Frequency Vibration,EPROLO,Sex Product,false,true
1214950,Vibrating Egg Palamei Invisible Wearable Wireless Remote Control Vibration Vibrating Egg Female Masturbator Sex Toys,EPROLO,Sex Product,false,true
1214953,Female Sunflower Sucker Masturbation Pulse Sucking Vibrator Sucking Pussy Massage Orgasm Magnetic Suction Charging Sex Toys,EPROLO,Sex Product,true,true
1214958,Female Vaginal Sex Dumbbell Contraction Vaginal Dumbbell Ball Private Part Firming Exercise Female Adult Sex Toys,EPROLO,Sex Product,false,true
1215463,7 Speeds Tongue Vibrator Oral Licking Clitoris sucking G-spot Suction Sex Toys for Women Female Masturbation Nipple Massager ,EPROLO,Sex Product,true,true
1215953,Sexy Women's Mesh Water soluble Flower Underwear Bra Sex Set,EPROLO,Sex Product,false,true
1215955,Perspective Solid Color Underwear Bra Sex Set,EPROLO,Sex Product,false,true
1215962,Sex Sleeping Skirt Mesh Perspective Dress Passionate Temptation Underwear Bag Hip Skirt Hollow Out,EPROLO,Sex Product,false,true
1217014,New sexy mesh perspective sex suit with spliced neck strap,EPROLO,Sex Product,false,true
